"ID","Age","online","Grow.Palous","Grow.PN","Grow.SW","Grow.NE","Grow.SE","Grow.MW","Grow.OUS","Gender","Years","Rent","Supplier.Moscow","Supplier.Pullman","Supplier.Dwell","Supplier.Iwell","Supplier.IDK","Supplier.other","compareuse","statement","awareness","recreation","education","wildlif","energy","flood","Task","Choice","C1.1.Cost","C2.1LargR","C2.1SmallR","C2.1WasteW","C2.1GroundW","C3.1ARebate","C3.1GRebate","C3.1GRestrict","C3.1WRestrict","C4.1AqInj","C4.1Resv","C4.1NoStore","Check","Id2"
1,8,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,2,1,1,3,4,3,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1.1
2,13,0,0,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,4,7,6,7,6,7,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2.1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,1,0,1,0,0,0,0,1,0,1,4.1
7,10,0,0,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,7.1
8,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,2,4,3,4,5,4,1,0,5,0,1,0,0,0,0,0,1,0,1,0,1,8.1
9,8,0,0,1,0,0,0,0,0,2,3,1,1,0,0,0,0,0,1,6,2,7,6,6,4,7,1,1,10,0,0,0,1,1,0,0,0,1,0,0,1,9.1
10,8,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,6,2,4,2,4,6,3,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,10.1
11,8,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,1,7,2,6,5,6,7,6,1,1,10,1,0,0,0,0,1,0,0,0,1,0,1,11.1
12,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,6,3,2,2,1,6,5,1,1,5,1,0,0,0,0,0,0,1,0,1,0,1,12.1
13,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,6,3,3,2,1,6,5,1,0,10,0,1,0,0,0,1,0,0,0,0,1,1,13.1
14,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,6,2,6,6,6,6,4,1,1,10,0,0,1,0,0,1,0,0,1,0,0,1,14.1
15,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,7,3,5,6,7,4,3,1,1,20,0,0,1,0,0,0,0,1,0,1,0,1,15.1
16,8,0,0,0,0,0,0,0,1,1,5,1,1,0,0,0,0,0,1,3,1,1,3,1,7,7,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,16.1
18,8,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,2,6,5,6,6,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,18.1
19,8,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,6,2,2,2,3,6,7,1,1,30,1,0,0,0,1,0,0,0,1,0,0,1,19.1
20,13,0,0,1,0,0,0,0,0,1,5,2,0,0,1,0,0,0,1,7,4,2,1,2,5,5,1,1,5,0,1,0,0,0,0,0,1,0,0,1,1,20.1
21,10,0,0,0,1,0,0,0,0,1,6,2,0,0,0,0,1,0,1,6,4,3,3,3,4,3,1,0,20,0,0,1,0,0,1,0,0,0,1,0,1,21.1
22,9,0,0,1,0,0,0,0,0,2,3,2,0,1,0,0,0,0,1,5,2,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,1,0,1,0,1,22.1
